"","donor1_macrophage_disease","donor2_macrophage_disease","donor3_macrophage_disease","donor4_macrophage_disease","donor5_macrophage_disease","donor6_epithelial_disease","donor7_epithelial_disease","donor8_epithelial_disease","donor9_epithelial_disease","donor10_epithelial_disease","donor11_macrophage_control","donor12_macrophage_control","donor13_macrophage_control","donor14_macrophage_control","donor15_macrophage_control","donor16_epithelial_control","donor17_epithelial_control","donor18_epithelial_control","donor19_epithelial_control","donor20_epithelial_control"
"TGFB2",5.9939,5.4841,4.8327,4.2896,7.9316,6.2596,3.5154,4.364,5.4018,7.0704,6.223,5.9001,5.1522,5.5849,7.0009,7.1845,5.5953,3.2791,5.8966,4.7619
"SMAD2",4.2406,5.4141,3.9025,3.5519,8.1491,6.0907,6.3893,5.2658,5.0501,3.7122,3.968,6.1525,6.0371,4.3232,4.2173,4.5598,5.5638,4.4911,4.3609,6.2322
"SMAD3",8.977,7.6061,9.6563,7.4001,9.7569,7.9138,8.618,7.4367,7.5481,8.6176,9.0531,9.2582,8.4531,8.0253,6.2355,9.195,8.2074,9.584,7.445,8.4098
"SMAD7",2.3078,1.0934,2.7431,1.2115,1.2654,1.1854,2.4617,1.1782,1.8401,0.7693,1.356,2.5988,0.9924,2.1985,3.0793,2.2698,0.6877,2.3221,1.3129,0.8957
"COL1A1",8.1934,8.5563,7.6135,8.1036,9.304,8.8402,8.0481,7.8895,7.2852,8.1074,7.2673,9.345,8.6931,7.5557,7.845,8.2161,8.2653,7.3038,7.1249,7.7956
"COL3A1",3.7057,1.9419,2.0227,2.5197,2.3399,1.5614,3.3237,1.5486,2.0084,2.4245,3.3136,1.3981,1.5092,1.489,0.8894,1.9134,1.5979,2.5026,1.7354,1.3365
"MMP2",2.7037,0.8553,1.468,0.6346,2.7725,1.7518,1.9954,0.3856,0.3856,1.5267,0.4749,1.2033,1.8222,1.6109,0.1554,0.9856,1.9972,1.2002,0.1295,0.348
"MMP9",11.8538,9.1714,11.0865,9.8686,13.9166,12.944,11.4641,10.2867,12.5367,11.0015,10.3459,11.4144,10.5964,9.1033,9.7865,12.8505,12.6964,11.9155,10.5902,12.2382
"TIMP1",6.6475,5.7366,7.482,5.9913,6.9719,5.0771,7.5547,5.6818,6.9257,7.155,5.0327,7.5844,6.1856,5.2583,6.7132,6.7092,6.7075,5.9046,7.1025,7.8
"FN1",5.1751,5.49,6.1082,5.0567,6.7997,5.7617,6.7941,4.0757,5.8195,5.8098,4.2357,5.4286,5.5441,4.7084,5.7067,6.0283,6.9294,4.2945,6.2192,5.8448
"ACTA2",7.4417,5.9494,7.696,6.4026,7.6847,8.5081,7.7968,6.9664,7.8436,7.9137,6.2693,7.233,8.5739,7.5935,7.3763,7.9091,8.9871,6.9776,6.03,8.6045
"TNF",3.586,3.4155,1.2544,3.4715,3.4548,3.7859,3.6872,2.0057,2.0244,3.3133,1.6742,1.66,1.2806,1.8458,1.0607,1.1286,0,3.0749,1.1374,2.9997
"IL6",9.9901,7.7797,8.9032,8.0341,10.7066,9.1507,9.705,7.5735,8.7344,9.9192,7.1923,8.8739,9.5855,8.4864,8.1705,9.1722,9.6621,8.8464,7.5302,9.5678
"IL1B",7.7948,5.8456,5.7342,7.2977,9.0702,7.3445,7.0501,6.9896,6.3802,7.2891,6.2869,6.225,6.3012,5.5344,6.533,7.683,5.4973,6.6351,6.0873,7.3858
"NFKB1",10.0546,9.4704,9.5979,9.3096,10.274,10.5943,8.9978,8.3706,9.4894,10.7378,9.1684,9.9203,8.5121,9.3873,9.4519,9.7153,10.1374,9.9505,8.8364,10.4251
"RELA",6.9683,7.1622,6.634,7.1533,8.4217,8.533,7.9182,6.2644,6.9449,8.2748,5.4882,6.687,6.6916,5.3717,4.8405,7.1488,5.7849,6.3926,4.8816,6.2902
"CXCL8",7.7836,5.6195,7.3514,5.7899,7.3603,7.9427,6.1241,5.7631,6.106,6.7599,6.3174,6.1214,6.1818,4.844,7.0501,7.4243,6.088,6.6206,5.5022,6.5419
"CCL2",7.5528,6.8993,7.4015,7.0428,9.3392,7.5947,6.8347,6.9143,7.6582,6.8515,6.6187,6.3613,8.7461,5.397,5.3403,6.055,7.6718,7.9927,6.9293,6.747
"JAK1",8.9076,9.1905,9.2444,8.6527,12.0868,9.5962,9.1463,8.5506,9.4153,8.9698,9.3081,10.685,10.3048,8.9215,8.5167,12.5655,10.0912,11.0731,8.9369,9.3356
"JAK2",2.5479,2.142,2.5255,1.6734,2.6176,3.292,1.3971,3.0225,2.2442,2.8972,3.0038,2.2033,4.135,4.1459,1.8337,4.3528,1.8458,5.3173,2.5106,2.2187
"TYK2",2.2887,3.0721,2.3975,1.9176,3.1962,1.9063,2.5244,2.1287,1.9169,3.6076,1.457,2.5526,2.1742,2.7624,4.0262,4.2296,3.7266,4.448,2.7859,1.2124
"IFNG",6.7207,3.584,4.3486,4.9497,5.4339,4.2642,5.0489,4.518,5.5047,5.5435,6.7775,5.8713,5.967,5.0518,6.0166,6.7809,4.9598,7.1465,5.4776,5.4446
"IFNAR1",9.3903,6.7066,8.5915,7.3068,9.4037,7.6796,7.0622,5.0637,6.3275,7.3358,7.8609,10.0042,9.763,6.935,7.7614,11.2574,9.5737,6.8024,7.7315,8.8665
"IFNAR2",2.6702,2.1111,1.7769,1.4118,0.8852,2.1575,1.5526,2.2985,1.8202,2.2831,1.8459,0.1404,1.5145,1.0542,1.2364,2.9579,2.5664,3.4201,2.2962,1.9596
"AGT",9.079,9.8304,10.3485,9.432,13.1008,10.2524,10.4839,9.0686,8.54,9.6006,9.2778,10.7215,10.9538,7.5235,9.6989,11.6617,10.7043,10.8968,9.0162,10.7504
"ACE",8.4775,7.7018,9.8632,7.9268,11.3593,8.3872,8.4676,7.4437,6.8551,9.7812,7.4772,8.9922,9.5217,7.7583,7.7766,9.5531,6.4962,9.6466,7.4768,8.8818
"ACE2",0.9896,1.3473,1.1611,0.2425,2.9531,0.688,2.4192,1.312,1.1597,2.7513,2.7197,2.0641,2.7233,0.5094,3.1654,1.2183,0.6235,1.434,0.9727,0.935
"AGTR1",1.5019,1.5679,1.5614,0,0.7126,0.7908,0.1316,1.1745,0,0.5266,0.7762,1.8906,0,1.7291,1.0157,1.3024,0,1.3727,0,1.5757
"REN",7.585,5.3127,8.0346,5.2663,8.5395,7.4435,7.4489,6.7401,5.9069,5.5763,5.9053,7.0653,7.122,6.3474,5.7348,8.197,5.767,9.1141,7.2234,8.2411
"GAPDH",13.1967,11.2403,12.2679,10.331,12.5169,13.6994,13.162,10.1204,10.4451,13.0285,11.9895,12.4401,12.4272,10.7907,10.5307,15.0451,10.9877,12.8595,10.7879,12.4877
"ACTB",9.6006,8.3341,9.7938,9.9633,9.3532,7.8229,8.8484,8.0859,9.2692,8.7381,9.8278,10.9086,11.7327,8.6884,10.0032,11.6638,10.3539,9.9276,8.9237,10.2048
"TUBB",9.5767,8.961,10.6765,8.7634,10.917,8.8385,9.5544,6.7081,7.8027,9.2658,8.967,9.7516,10.7611,9.3699,8.5152,10.2052,9.9216,10.7152,8.5097,10.902
"RPL13A",9.9753,7.3963,8.8945,7.5566,8.2998,9.8907,10.2927,8.9981,9.6214,9.7937,8.5012,9.9577,9.643,8.9695,9.3692,10.0246,9.149,10.5112,8.388,10.7764
"RPS18",13.2924,12.9473,11.9586,11.7664,13.497,11.9746,13.0665,10.9372,11.9374,13.4755,11.4885,13.3572,13.8555,11.475,12.0382,15.5,14.2782,13.6589,12.3949,11.0095
"B2M",9.8261,9.7073,10.1709,8.8896,11.1695,11.8621,11.541,8.8593,8.6284,10.1874,10.1289,11.2751,11.1996,10.277,9.7901,12.1134,10.0143,9.2383,9.2424,12.0623
"HPRT1",12.8744,10.3683,12.6081,11.4392,15.2572,13.9105,13.8421,11.343,13.0931,12.8382,12.2755,13.4275,13.0873,12.2154,12.4666,14.0977,12.8898,13.9466,11.0857,13.8428
"PPIA",13.2112,10.2535,12.877,11.0207,14.4879,12.7544,11.8062,10.1985,9.9502,11.8906,10.893,12.2159,13.4003,11.1722,12.7037,13.4123,12.3119,13.0984,10.6885,12.5436
"YWHAZ",12.8758,12.6774,12.9071,9.9022,14.4329,11.94,12.819,9.7354,11.9469,10.6964,11.8575,12.1921,14.1897,10.3664,12.0391,12.4513,11.6111,13.4511,11.6902,12.4885
"SDHA",10.4501,9.5428,9.8402,9.7954,10.4062,10.2311,9.2284,8.1749,7.9752,10.354,9.8753,10.3671,11.8615,9.9054,9.7398,11.793,12.0655,11.1148,7.9359,11.0887
"TBP",8.8978,7.0615,8.8643,8.9857,11.4893,9.5073,9.0038,7.1182,8.8069,9.1184,8.9967,8.2381,10.5374,8.9476,9.6938,10.9962,11.0953,10.107,8.8349,11.5886
"HMBS",9.6551,8.544,10.3078,7.9686,10.1757,9.9887,10.1234,8.2244,8.3893,10.2592,9.9409,9.9398,9.4733,8.1042,9.0859,12.0313,8.2175,10.5377,7.512,10.8174
"UBC",10.5461,8.1379,8.4271,8.0912,12.8849,9.9836,10.2654,8.4538,8.7718,11.279,11.2533,9.7541,11.4816,9.4443,10.0404,13.4112,10.4322,11.0829,9.1471,10.593
"RPLP0",10.2851,8.2663,9.7017,8.2392,10.4776,10.55,10.8954,8.7494,8.7761,10.5083,10.6595,11.3365,12.1991,8.4814,10.1781,10.9298,9.3219,11.8202,8.7713,10.6128
"EEF1A1",12.8536,11.1192,12.1364,11.4723,13.1619,12.5851,12.8231,9.9355,11.0277,10.745,10.1081,14.5593,13.5601,11.5554,11.5252,13.6166,12.972,10.9149,12.5611,12.0773
"HSP90AA1",10.0303,9.2796,8.9387,9.6965,11.2878,10.7523,9.2885,9.256,9.0898,10.0732,10.561,12.6363,10.724,7.8045,11.1638,10.7906,10.6716,11.5728,9.8711,11.5597
"ALDOA",11.4418,9.2471,11.1915,9.5234,13.0267,11.1263,10.7756,8.561,10.4556,10.8228,10.0794,11.9351,13.1401,10.6735,10.276,12.9525,11.2529,11.9156,10.5804,11.4805
"PKM",13.6201,11.2715,11.3224,11.2273,13.1472,11.9478,12.8676,10.112,11.3498,11.5222,10.3601,11.7991,12.8903,10.9269,11.3236,15.1922,11.2011,14.0634,11.9508,13.3545
"ENO1",12.8253,11.0266,11.0059,10.7594,13.4449,12.6074,11.6391,8.7725,11.4888,11.6433,11.4178,13.1857,13.1595,10.8145,9.7755,13.2362,11.5912,10.2978,11.7967,12.7359
"LDHA",9.9128,8.0153,9.1084,10.0836,9.2088,10.0153,9.4854,8.3235,10.0294,9.7317,9.6403,12.5498,10.2489,8.3774,8.5633,11.7537,11.3776,12.522,8.017,9.3669
"PGK1",13.5275,12.2865,13.594,12.1047,14.2306,12.4469,13.125,11.0179,10.9995,13.2974,12.5185,13.6064,13.862,12.171,12.2387,15.5,12.1149,14.057,11.5467,14.2614
"GPI",10.0081,8.1357,8.8136,9.5347,9.82,8.0968,7.5527,7.8991,9.3166,8.7917,8.2417,11.3898,9.5679,8.8997,9.4345,9.8163,8.6268,11.1376,9.0087,9.1241
"TPI1",10.122,9.9501,9.3598,9.0634,11.2796,10.8316,9.1072,8.3634,8.8447,10.3035,10.0506,10.939,12.5607,8.7082,9.4512,11.3447,10.4532,11.0227,8.8482,10.1091
"PGAM1",12.9793,10.4172,11.9841,10.9689,12.4313,12.1053,11.8468,10.2498,10.8083,11.3168,11.4018,11.3745,14.1392,10.2044,11.2705,12.2527,13.1282,13.2059,11.1246,13.2386
"MDH2",9.0183,8.8896,10.891,8.9222,9.1679,9.5887,7.7923,7.6996,8.4536,8.4761,7.9616,8.9731,9.6267,8.3138,8.6452,9.1082,9.0361,10.8105,8.8223,8.8852
"APOE",9.7095,7.3808,8.8813,8.0393,10.2681,10.1944,9.0945,7.6799,8.2007,9.3628,7.5988,10.4696,9.568,7.7155,8.1607,9.3609,6.7208,8.8802,8.434,11.2436
"APP",0.5997,1.3845,0.956,2.2925,1.1169,1.9605,0.9984,1.6501,0.4147,2.0855,0,1.6275,1.9659,0.4256,0.7251,2.4669,3.0957,1.465,2.1615,0.3752
"MAPT",1.3993,3.2651,3.7656,2.752,1.6371,3.1032,1.3708,2.6656,1.9479,0,2.319,2.6583,2.8171,3.712,2.3366,1.9744,1.706,2.8229,2.3141,2.6004
"PSEN1",0.9221,2.4744,1.7662,2.3846,0.7508,0.1888,2.2998,2.3892,2.5919,0.1953,2.0524,0.0393,0.8915,1.2547,2.4631,3.0592,2.961,1.0389,1.4366,1.8408
"PSEN2",0.3231,0.4891,0.1315,0.9975,0.7158,0.5223,0.1724,1.202,2.6736,0,1.6861,0.7917,2.0644,0,1.2931,1.5231,0.027,0,1.2458,0.8414
"BACE1",9.6705,10.2022,10.135,10.3052,11.6623,9.1785,10.6722,8.4687,10.1647,10.9056,10.8861,10.957,11.25,7.8286,10.3997,12.293,11.1107,11.6993,9.8026,10.477
"CLU",2.6553,1.8122,1.6451,1.211,2.406,2.3185,0.2496,1.1967,1.9288,2.3122,1.4479,0.5593,1.0771,0.7355,0.8633,1.5565,0.8179,1.9169,0.0328,1.9363
"BIN1",1.7575,1.1247,1.7638,1.7343,1.8455,0.7697,1.217,0,1.0945,0.8104,1.138,1.6988,1.1531,0.6898,0.092,1.5889,1.3162,1.6112,1.2094,3.1177
"ABCA7",3.6338,5.5481,4.5688,5.3585,7.6944,3.6492,6.4719,4.7943,4.1202,7.0195,5.675,6.2792,6.2754,4.7234,5.8046,6.9707,5.6301,5.4689,4.2233,5.9507
"SORL1",10.4994,7.362,11.19,9.9058,11.4424,10.0487,10.7049,8.3867,9.1155,10.4147,9.8062,10.1757,10.6302,8.2719,8.7793,11.931,9.2925,10.6442,9.4933,9.9169
"TREM2",5.3292,5.2177,6.4857,5.2514,7.3548,5.1945,4.901,5.3126,5.0097,5.9914,5.1803,5.7523,7.0153,5.3158,4.7186,5.1549,5.63,5.8872,4.6706,5.8875
"CD33",1.7647,0.3588,2.0548,1.6339,0.5289,2.4215,2.3866,1.7795,1.6169,1.7469,1.8232,2.1979,2.4681,0,1.5613,1.9988,1.7218,2.1769,0.0095,1.5946
"INPP5D",7.9184,8.2457,8.2812,7.6009,9.1021,8.7323,10.7442,8.2737,8.013,9.3483,8.1833,9.8881,10.2216,8.71,9.8758,11.0529,10.0447,10.8477,7.9063,10.5875
"SPI1",6.3361,7.5924,6.6825,5.5659,6.9436,8.7287,6.9202,7.4617,7.3014,7.4887,9.0765,6.4467,5.549,6.4279,7.8697,8.1058,6.666,7.8575,6.3833,6.7054
"MEF2C",4.3636,6.0722,4.0087,4.6743,5.3228,6.672,7.2145,4.639,6.721,5.7033,3.8972,6.9414,7.4907,6.576,5.6523,7.3575,8.0804,7.2111,6.7101,6.3947
"PLCG2",8.5125,6.3025,6.3275,7.2787,8.5655,6.6265,8.0128,6.1868,7.4098,6.7267,8.2743,7.7734,7.3459,7.2001,8.4774,8.2176,8.326,8.6654,7.3264,8.8591
"ABI3",2.2917,0.5307,0,0,0,0,0.7505,0.749,0.3078,0.4273,2.8466,0.3388,0.8922,2.0398,2.8231,2.4852,0.1462,0.6601,1.3756,1.2031
"ADAM10",2.0718,0.6801,1.1702,2.007,2.7432,1.4431,2.82,1.066,1.6551,0.9423,1.6803,3.4655,1.2798,1.6663,1.5263,0.2875,0.8964,1.6133,1.9352,2.8922
"ADAM17",3.857,2.8887,6.2673,4.0988,5.7176,4.5112,3.1427,5.4453,5.6164,5.0484,5.5975,5.8448,5.3505,4.8637,5.0942,5.1651,6.1051,6.1012,2.8027,3.9734
"NOTCH1",9.6974,10.3337,10.1496,10.2028,12.2106,10.4315,10.5456,8.2569,9.9722,11.7596,9.8218,12.1192,9.3226,8.539,10.3468,13.4975,11.1497,11.8169,10.0106,10.7031
"HES1",11.1418,11.0397,10.9325,10.3041,12.2233,11.2961,11.9238,8.966,9.218,10.8195,11.2324,11.0009,10.5871,9.6494,11.4426,11.5567,10.0992,11.1801,10.627,10.9888
"DLL1",6.8668,7.3813,7.4248,6.7029,10.3169,7.6419,8.6672,6.9876,6.9912,7.5887,8.4875,7.0909,9.8375,6.1568,6.4875,10.0141,6.8324,8.9843,6.379,8.5043
"WNT3A",7.6593,6.4743,8.1837,6.7197,9.0765,6.7683,8.499,6.7332,6.3282,8.1405,6.7119,7.7973,7.6584,7.9008,7.283,10.7727,8.8955,9.5054,6.7643,7.335
"FZD1",7.0573,7.8237,9.1812,7.0791,10.111,10.1345,10.012,7.2263,8.4255,8.2929,7.2632,9.9898,8.1619,7.8472,8.2096,9.1712,9.0964,9.4852,7.0465,8.8002
"CTNNB1",1.0055,1.2614,2.4229,0,0.0044,2.9321,1.5753,1.0821,0.9364,2.5278,1.767,2.1162,2.3753,0,2.4223,1.9424,2.4609,1.702,1.6397,0
"APC",5.2706,5.0783,6.3762,6.1805,7.5867,8.1681,6.5465,5.1457,6.2124,5.6185,5.0082,8.1449,6.4404,5.8366,6.4147,8.3939,5.4118,7.2408,5.6244,7.0751
"GSK3B",8.9825,8.741,11.1699,8.9956,10.7193,10.6106,10.4838,7.8779,9.8176,10.0109,10.4669,9.3445,10.5181,9.1005,8.8136,11.399,11.2083,11.5818,9.8833,10.1546
"AXIN1",7.5315,5.7868,5.5671,6.8261,5.3986,6.3084,5.8279,5.1051,6.4909,5.8231,6.5877,6.5327,6.5256,6.3419,6.0412,8.1492,6.1726,6.5131,5.8627,7.1298
"DVL1",8.6523,8.2012,8.8538,7.7516,9.7176,8.6968,9.1769,7.8039,7.3878,7.5885,8.6188,9.1893,8.5954,9.4168,9.6225,7.7855,8.1798,10.2113,8.4189,9.0646
"LEF1",9.3867,10.1313,10.5026,10.7196,11.5449,9.3949,10.9811,9.5482,8.3307,9.0495,9.952,11.0775,12.0466,9.4055,9.4895,13.7057,9.587,11.5556,9.0445,11.393
"TCF7",5.2637,3.7179,5.2629,4.7597,7.1509,6.6936,5.4169,4.2658,4.6884,5.9014,5.907,5.9849,5.7255,6.215,5.868,5.0558,6.2387,6.838,5.6347,6.6302
"MYC",1.742,3.0148,2.4658,1.3135,2.4793,0.3476,0.7335,1.4038,1.6268,1.0223,2.6066,3.0066,0.7703,1.4386,3.1145,1.6717,0.8494,2.9426,0.6242,0.276
"CCND1",8.9579,9.026,7.9458,6.1687,9.1935,6.8318,7.6483,7.034,6.7379,8.0865,7.5183,8.8822,7.6858,6.753,7.8615,7.8154,9.0684,8.325,6.2323,7.2298
"CDK4",10.7551,8.7426,10.5944,10.306,13.4858,11.8755,10.5668,9.0224,10.2227,10.6555,10.3488,11.588,12.1944,9.9351,10.3181,12.6149,10.7026,10.7024,9.3367,10.4181
"CDK6",6.8278,5.4885,7.3583,5.9258,8.7846,9.235,6.0752,6.5403,5.9017,7.7222,6.3862,6.6798,5.3405,6.6103,5.5546,8.6287,7.2876,7.2683,6.3516,5.4336
"RB1",4.4445,5.6849,5.3757,6.0693,6.3761,5.7406,4.81,4.2824,3.4276,5.4681,6.0763,6.867,6.0198,4.4526,5.7966,8.0285,6.0096,5.8718,5.9809,4.1092
"E2F1",5.4542,4.845,5.7374,4.5902,5.8425,6.9568,5.9266,4.2013,5.4428,4.6832,4.6989,5.9439,5.5921,5.7597,6.1964,5.1625,4.998,6.2291,4.3595,6.5842
"TP53",11.3402,11.0384,10.5595,10.6967,11.5993,10.3389,10.3112,9.5836,11.246,12.5271,9.3924,11.0328,10.2289,9.3203,10.8498,14.3862,10.4155,12.2643,9.7645,11.6948
"MDM2",6.6605,7.693,7.9247,8.2973,9.7899,8.9045,8.2656,6.4679,6.8079,8.6289,7.4428,8.4116,9.0491,6.9134,7.5938,9.458,8.0822,6.6754,7.0055,8.4334
"CDKN1A",11.669,8.3594,12.2398,8.3845,10.5701,10.0947,10.5271,9.9222,9.407,10.2851,8.2149,10.6899,10.8169,9.3626,9.4023,11.0331,9.5184,9.9482,10.2082,10.643
"CDKN2A",5.7595,7.2742,6.7083,6.0445,8.3704,6.4058,8.5256,6.0274,6.6218,6.8105,6.4354,6.5236,7.7934,7.0031,7.2471,9.518,6.7645,8.1737,7.5177,7.2016
"BAX",6.7621,6.4553,8.3573,7.4572,9.8733,7.8988,8.056,6.9869,6.3713,7.7194,7.6554,8.4035,10.0185,7.4348,8.6388,10.2559,8.6393,6.3276,7.0465,9.0467
"BCL2",5.9893,5.5518,8.2786,5.3733,6.7718,6.0883,4.5561,5.8276,5.1735,7.533,5.091,6.4285,5.7758,5.2712,6.1098,5.8189,6.2084,6.386,5.5011,6.8688
"CASP3",1.4807,1.4875,1.5376,1.7959,2.3775,0.8556,2.273,0.7735,1.4685,1.1637,2.3027,2.3534,1.662,1.0752,2.7414,0.755,2.7805,0.5472,2.3884,1.82
"CASP9",7.149,5.6565,8.102,6.315,9.2785,7.2109,6.8503,6.5621,5.917,7.2067,6.5586,7.0341,8.1229,6.1262,7.452,8.0646,8.0402,7.8858,6.694,7.7476
